sample	029_4870a	046_4949a	054_4976a	065_5037a	083_5091a	088_5114a	113_5241a	115_5235a	160_5453a	178_5685a	180_5521a	186_5559a	188_5571a	197_5625a	199_5632a	203_5662a	207_5670a	220_5717a	222_5735a	225_5747a	227_5749a	228_5756a	289_5851a	293_5828a	LA_RV_352_5899a_S19	LA_RV_372_5944a_S39	LA_RV_382_5978a_S49	LA_RV_389_6006a_S56	LA_RV_395_6024a_S62
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)	7443.05	4080.42	3707.56	5246.4	4994.88	4670.34	4018.98	4233.89	4718.73	3759.18	3847.67	3584.44	4257.28	2671.22	4511.67	7253.01	4263.55	4211.94	3624.09	3946.31	6144.98	3899.27	5621.86	4766.19	4546.0	5791.79	4907.32	4325.35	3840.52
PWY-5156: superpathway of fatty acid biosynthesis II (plant)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.585	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5178: toluene degradation IV (aerobic) (via catechol)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.962955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5180: toluene degradation I (aerobic) (via o-cresol)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2410.93	832.339	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.7627	0.0
PWY-5181: toluene degradation III (aerobic) (via p-cresol)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	2582.39	3325.52	3210.61	885.599	2873.46	2197.46	2590.34	2216.23	3217.44	3228.34	3316.76	3267.0	1979.68	4593.65	3644.6	2322.74	3413.96	3064.58	2950.59	2388.96	1934.94	1511.24	1540.94	2962.32	3022.47	1654.05	4121.47	2426.82	3602.32
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	488.779	29.5609	138.381	71.0892	174.137	252.551	274.229	336.172	210.969	81.9844	1198.13	509.112	101.827	126.515	78.8444	1967.06	964.996	0.0	1938.46	1102.29	1194.61	169.144	141.47	554.312	142.213	15.6755	1259.64	92.6876	65.1841
PWY-5196: factor 430 biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	385.025	11.3564	109.445	552.416	0.0	0.0	0.0	0.0	0.0	45.2396	0.0	0.0	0.0	0.0	0.0	0.0	48.6861	0.0	0.0
PWY-5198: factor 420 biosynthesis II (mycobacteria)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	303.138	5.36297	95.3389	538.876	0.0	0.0	0.0	0.0	0.0	35.7376	0.0	0.0	0.0	0.0	0.0	0.0	61.1212	5.26736	0.0
PWY-5209: methyl-coenzyme M oxidation to CO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	323.041	8.84557	90.2902	547.216	0.0	0.0	0.0	0.0	0.0	36.5797	0.0	0.0	0.0	0.0	0.0	0.0	59.2678	11.4381	0.0
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	0.0	0.0	105.191	76.7015	158.749	370.791	0.0	600.591	0.0	1222.94	365.463	1624.25	1095.06	2264.08	54.7981	480.793	592.455	0.0	591.808	348.492	620.878	2009.94	214.623	111.032	665.761	44.923	1793.56	320.214	625.367
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	4271.87	634.108	2698.41	1526.86	1113.29	1542.94	2202.9	2376.15	658.701	2114.87	3823.95	2606.35	2344.19	1500.11	653.977	697.265	3088.72	1088.59	2860.36	3387.08	735.899	1065.15	2212.24	1858.87	1493.73	263.098	2682.41	1858.58	1067.42
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	2311.82	1948.03	2682.12	3477.94	2657.82	3326.54	3342.11	2452.14	2290.92	2808.59	4804.2	2626.45	3385.15	1589.81	2287.42	2307.92	3213.68	3475.11	4505.92	4445.84	2191.21	4489.6	2834.65	2203.89	1693.08	4442.02	3117.88	4196.76	2351.48
PWY-5367: petroselinate biosynthesis	134.803	147.571	236.944	111.107	165.886	171.421	197.394	260.65	284.489	223.744	582.35	399.187	62.346	68.2585	158.91	1724.23	359.298	342.62	1251.57	597.706	768.418	292.809	219.462	246.816	431.91	163.778	563.336	152.769	101.057
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	3044.5	2581.34	2310.66	3495.03	3667.12	2493.86	3626.73	2718.93	2794.83	3223.88	2770.88	2410.62	2786.01	1667.45	2666.92	3048.36	2596.74	2628.65	3521.67	3218.24	3290.4	3855.3	2576.2	1968.32	2160.61	3289.22	2047.94	3150.29	2395.12
PWY-5392: reductive TCA cycle II	0.0	212.632	110.687	355.356	147.659	270.386	188.576	82.8013	0.0	183.418	534.923	301.895	444.929	363.399	45.4776	28.4345	668.589	203.145	771.43	735.887	112.462	463.188	60.4613	178.26	85.3671	0.0	177.725	31.5485	431.438
PWY-5415: catechol degradation I (meta-cleavage pathway)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.79773	0.0	0.0	0.0	0.0	0.0	34.9424	24.8838	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.28669	0.0
PWY-5417: catechol degradation III (ortho-cleavage pathway)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	339.897	9.62885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5419: catechol degradation to 2-hydroxypentadienoate II	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.3615	14.3038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.05858	0.0
PWY-5420: catechol degradation II (meta-cleavage pathway)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.6998	24.7508	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83713	0.0
PWY-5430: meta cleavage pathway of aromatic compounds	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.6878	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	339.897	9.62885	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	0.0	162.365	305.752	306.946	276.493	678.769	220.096	290.143	0.0	246.049	416.452	593.672	366.784	609.127	171.454	110.18	340.785	0.0	128.163	1452.26	236.223	358.587	117.326	226.305	128.278	30.3733	227.262	310.12	533.806
PWY-5484: glycolysis II (from fructose 6-phosphate)	6463.98	7105.4	6305.66	10441.7	8568.54	8462.36	8207.35	6794.36	8512.05	7864.01	5339.62	7055.03	9654.69	6548.28	8879.75	6407.08	6859.39	7951.56	5150.17	6186.9	6380.21	8316.61	8673.26	9184.52	7533.46	9853.74	5349.69	9171.04	7669.73
PWY-5494: pyruvate fermentation to propanoate II (acrylate pathway)	48.5287	134.51	35.7708	31.2795	33.6294	63.8716	98.4234	172.259	0.0	72.0617	94.2407	55.5816	79.413	141.9	8.52036	294.843	342.171	88.2795	7.05542	45.4864	50.198	35.5914	250.9	11.1214	53.1204	9.69047	140.491	111.27	48.9433
PWY-5497: purine nucleobases degradation II (anaerobic)	181.172	456.979	403.191	221.747	300.284	833.637	266.603	654.198	378.958	405.861	1153.95	607.973	676.103	685.341	353.689	262.408	634.567	149.154	675.388	804.134	407.531	237.474	398.131	370.101	160.296	162.872	607.587	336.329	374.355
PWY-5505: L-glutamate and L-glutamine biosynthesis	580.117	584.424	821.468	658.482	555.949	802.114	544.036	649.747	614.528	953.969	543.904	1255.49	749.422	625.339	554.887	613.203	874.337	595.278	126.181	367.052	596.002	832.722	676.803	879.127	572.811	340.338	1174.28	562.907	988.638
PWY-5507: adenosylcobalamin biosynthesis I (anaerobic)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.471	33.0951	97.0357	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0208	37.4661	0.0
PWY-5514: UDP-N-acetyl-D-galactosamine biosynthesis II	33.7787	13.9177	66.3104	18.4327	4.61048	5.04408	25.8045	29.8695	0.0	88.1557	102.606	87.0735	176.252	123.104	27.87	0.0	41.5742	0.0	7.15408	56.5664	4.80694	24.5185	84.9027	11.7578	9.14321	0.0	73.8473	24.723	44.0109
PWY-5517: L-arabinose degradation III	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.9977	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.7004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5531: 3,8-divinyl-chlorophyllide a biosynthesis II (anaerobic)	12.5967	56.766	84.1293	12.3305	129.261	101.393	52.9885	72.0537	55.3171	118.397	80.9956	191.615	96.3371	146.058	40.2725	59.6128	109.875	101.574	6.01833	111.507	69.7147	66.1219	65.8106	69.5945	24.0423	17.5989	54.0195	108.107	107.253
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	0.0	22.9738	0.0	62.974	59.4282	328.519	0.0	0.0	0.0	20.9658	2238.6	242.607	24.3014	0.0	85.1915	0.0	142.615	101.361	3336.02	2522.97	77.2774	0.0	0.0	188.8	0.0	0.0	40.1375	32.9193	83.6814
PWY-5656: mannosylglycerate biosynthesis I	0.0	50.9172	2.06022	27.5227	50.669	133.358	0.0	0.0	0.0	0.0	485.535	75.4813	19.7919	30.6325	25.2633	0.0	42.9641	0.0	1405.45	583.906	29.9748	12.6857	7.2552	112.083	27.0417	0.0	0.0	13.3486	93.3524
PWY-5659: GDP-mannose biosynthesis	10310.1	3063.3	4013.12	6605.93	4359.57	3909.18	4121.83	4519.74	2507.04	3682.52	2540.45	3597.71	4750.04	4763.57	4648.3	5277.48	4188.94	3028.17	3897.6	3286.27	5534.53	4503.77	7894.73	4267.98	4067.06	5655.92	4336.42	4322.2	4599.79
PWY-5667: CDP-diacylglycerol biosynthesis I	8711.99	9540.12	7765.92	7702.0	8104.4	7804.55	8007.44	7845.83	9384.21	8132.85	6669.93	8699.4	5841.58	5774.59	9166.13	9322.2	7455.16	8836.23	6800.9	5703.55	8078.96	7089.47	8328.67	8482.14	9269.12	6068.9	7608.03	7044.48	8167.57
PWY-5675: nitrate reduction V (assimilatory)	0.0	27.041	102.755	70.2167	62.8079	689.713	16.2009	95.8492	49.2755	264.367	3557.44	379.926	159.525	127.104	30.4823	4.32309	507.912	309.848	4485.51	2465.17	39.698	103.187	23.4979	127.24	44.7504	10.9887	134.281	72.62	68.7034
PWY-5676: acetyl-CoA fermentation to butanoate II	710.16	2403.31	1103.71	311.618	1515.27	1212.03	1668.9	2539.04	2286.16	1737.34	2379.63	2108.36	2738.37	1708.59	1473.75	711.62	1796.5	1919.6	1089.7	2410.7	980.208	991.414	2395.22	1251.3	958.893	1030.5	904.77	1941.53	1032.85
PWY-5677: succinate fermentation to butanoate	211.742	348.983	348.606	74.0181	514.568	287.38	433.816	350.914	367.619	214.194	235.376	355.93	367.971	176.204	174.961	236.591	346.799	322.099	105.109	172.844	237.434	266.41	588.504	449.344	331.394	98.4001	348.185	204.987	213.748
PWY-5686: UMP biosynthesis I	8295.6	9799.97	10718.2	7466.11	8629.03	8882.72	9009.0	9034.53	9479.16	9691.04	6876.27	9456.46	8737.37	10375.0	9142.53	10794.1	9037.07	9817.87	4238.55	5602.64	10056.1	8173.87	9044.87	7146.1	9422.09	8560.58	10790.0	9739.44	10414.7
PWY-5690: TCA cycle II (plants and fungi)	209.691	469.499	284.404	390.537	649.506	613.521	170.098	220.435	168.954	313.899	265.76	652.778	249.257	545.779	304.318	157.567	603.505	177.87	315.967	1274.14	168.252	276.261	327.724	221.897	266.936	201.684	354.774	280.666	455.263
PWY-5692: allantoin degradation to glyoxylate II	0.0	0.0	0.0	0.0	4.91163	14.2107	0.0	0.0	0.0	8.1266	131.596	8.14879	18.8863	0.0	8.13653	0.0	0.0	0.0	293.874	70.1758	6.26614	20.8709	0.0	14.9077	3.56435	8.87634	0.0	7.40926	1.64861
PWY-5695: inosine 5'-phosphate degradation	13337.8	8827.68	9726.98	9884.22	9427.6	8881.74	9029.53	9436.5	9535.04	8279.43	6337.73	8838.59	9883.34	7531.78	9234.26	10871.1	8597.04	8849.48	7393.97	6826.75	10574.4	8719.07	10956.7	9040.18	9806.98	8561.76	9618.14	8356.82	8844.11
PWY-5705: allantoin degradation to glyoxylate III	41.8739	0.0	44.3721	10.687	73.461	33.8494	15.5137	49.2058	0.0	11.1751	187.527	34.6162	39.6092	85.703	56.91	0.0	24.4091	60.7055	454.887	223.014	11.2874	250.588	0.0	31.7649	7.00751	22.4066	34.7253	34.9012	44.9877
PWY-5723: Rubisco shunt	10.0282	34.8172	66.1604	39.2754	64.3436	291.464	0.0	213.489	490.52	36.3981	2177.45	737.982	37.0017	62.2472	166.782	2824.37	589.391	203.824	4213.0	2664.35	2110.89	0.0	0.0	199.966	28.6697	0.0	925.799	51.3319	104.85
PWY-5724: superpathway of atrazine degradation	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5742: L-arginine degradation IX (arginine:pyruvate transaminase pathway)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.1163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5747: 2-methylcitrate cycle II	0.0	0.0	0.0	0.0	0.0	13.9545	0.0	0.0	0.0	3.89142	363.644	29.5089	7.34944	0.0	0.0	0.0	0.0	0.0	1013.86	773.627	31.9079	0.0	0.0	11.5864	0.0	0.0	0.0	8.08841	17.9078
PWY-5754: 4-hydroxybenzoate biosynthesis I (eukaryotes)	0.0	0.0	0.0	0.0	0.0	6.2129	0.0	0.0	0.0	6.23195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5823: superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis	0.0	936.388	29.0689	1101.38	0.0	524.755	545.043	0.0	0.0	0.0	3.22976	475.865	0.0	61.9762	74.9783	261.929	21.8423	0.0	0.0	15.5467	575.072	0.0	0.0	0.0	952.544	0.0	78.4145	463.632	0.0
PWY-5837: 2-carboxy-1,4-naphthoquinol biosynthesis	119.588	43.6666	92.0615	5.15121	70.1442	228.99	79.509	307.005	0.0	80.7229	633.687	178.987	85.5515	81.9759	83.4537	47.9042	202.624	0.0	1803.47	1468.3	155.418	359.844	61.1434	115.225	54.3308	39.5555	129.55	51.6847	114.722
PWY-5838: superpathway of menaquinol-8 biosynthesis I	390.995	141.032	289.467	17.6066	224.925	626.9	244.858	779.093	0.0	246.992	1294.33	501.417	271.294	224.578	260.163	159.721	574.282	0.0	2833.18	2320.78	487.988	871.391	202.364	361.169	171.379	126.487	392.239	164.695	334.687
PWY-5840: superpathway of menaquinol-7 biosynthesis	367.426	133.439	285.472	16.8762	160.904	624.047	253.425	732.383	0.0	243.856	1112.69	499.548	256.105	254.191	198.81	157.918	550.275	0.0	2408.9	1350.15	430.175	477.24	194.581	314.333	166.656	118.003	379.153	158.344	332.143
PWY-5845: superpathway of menaquinol-9 biosynthesis	95.0555	54.9472	175.118	0.0	27.121	547.33	152.234	280.845	0.0	194.464	1112.69	406.286	183.507	180.541	14.3105	44.4835	371.991	0.0	2408.9	1308.14	234.047	257.403	73.3218	103.62	74.0097	0.0	268.859	55.1418	280.861
PWY-5850: superpathway of menaquinol-6 biosynthesis	95.0555	54.9472	175.118	0.0	27.121	547.33	152.234	280.845	0.0	194.464	1112.69	406.286	183.507	180.541	14.3105	44.4835	371.991	0.0	2408.9	1308.14	234.047	257.403	73.3218	103.62	59.4606	0.0	268.859	0.0	280.861
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	0.0	10.3043	5.54389	9.05848	0.0	191.34	0.0	0.0	0.0	11.6348	373.831	36.8231	34.289	0.0	8.2357	29.0137	0.0	0.0	977.721	233.286	24.398	0.0	0.0	17.1608	0.0	0.0	8.62741	8.75426	6.04272
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	63.6124	36.8116	118.143	0.0	18.1236	380.9	103.049	191.818	0.0	131.933	853.49	282.028	123.802	122.698	9.55245	29.7197	256.875	0.0	2030.48	1002.22	158.105	177.252	49.1027	69.6846	39.8664	0.0	184.262	0.0	192.278
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis I	264.807	95.2175	196.827	11.7522	152.952	439.076	167.312	556.31	0.0	168.373	1017.84	351.459	184.081	153.353	177.54	107.31	404.443	0.0	2504.73	2010.27	334.472	651.197	136.61	248.286	116.151	85.1073	272.322	111.454	230.315
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis	63.6124	36.8116	118.143	0.0	18.1236	380.9	103.049	191.818	0.0	131.933	853.49	282.028	123.802	122.698	9.55245	29.7197	256.875	0.0	2030.48	1002.22	158.105	177.252	49.1027	69.6846	49.6904	0.0	184.262	36.9451	192.278
PWY-5870: ubiquinol-8 biosynthesis (late decarboxylation)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.90674	23.8405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.56033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-5873: ubiquinol-7 biosynthesis (late decarboxylation)	0.0	0.0	7.95946	0.0	1.35423	31.729	13.4704	3.68955	0.0	7.5845	5.98465	24.2875	20.1493	13.2981	0.0	0.0	0.0	0.0	0.0	2.61943	0.0	9.23074	0.0	16.3824	0.0	7.62633	7.02629	15.8816	25.5883
PWY-5896: superpathway of menaquinol-10 biosynthesis	95.0555	54.9472	175.118	0.0	27.121	547.33	152.234	280.845	0.0	194.464	1112.69	406.286	183.507	180.541	14.3105	44.4835	371.991	0.0	2408.9	1308.14	234.047	257.403	73.3218	103.62	59.4606	0.0	268.859	0.0	280.861
PWY-5897: superpathway of menaquinol-11 biosynthesis	347.753	126.838	265.374	15.4235	202.878	606.562	227.298	772.23	0.0	230.123	1253.14	472.771	248.075	230.087	238.729	140.809	533.899	0.0	2825.92	2329.63	440.507	879.219	179.442	325.976	155.854	116.976	358.265	151.273	316.864
PWY-5898: superpathway of menaquinol-12 biosynthesis	347.753	126.838	265.374	15.4235	202.878	606.562	227.298	772.23	0.0	230.123	1253.14	472.771	248.075	230.087	238.729	140.809	533.899	0.0	2825.92	2329.63	440.507	879.219	179.442	325.976	155.854	116.976	358.265	151.273	316.864
PWY-5899: superpathway of menaquinol-13 biosynthesis	347.753	126.838	265.374	15.4235	202.878	606.562	227.298	772.23	0.0	230.123	1253.14	472.771	248.075	230.087	238.729	140.809	533.899	0.0	2825.92	2329.63	440.507	879.219	179.442	325.976	155.854	116.976	358.265	151.273	316.864
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0.0	0.0	43.2334	0.0	0.0	41.5566	0.0	62.9525	0.0	11.8833	28.2373	20.4619	54.3738	0.0	0.0	0.0	0.0	0.0	33.0646	96.5325	20.8163	46.5603	0.0	0.0	0.0	0.0	51.5288	31.682	0.0
PWY-5913: partial TCA cycle (obligate autotrophs)	540.29	722.365	1615.34	2273.3	1274.8	1550.12	1706.09	1675.73	273.934	1487.59	3169.99	969.212	1829.03	2250.64	1085.91	416.521	1111.12	2425.73	3400.58	2548.95	1478.97	2795.02	1612.47	1464.32	819.911	2614.21	1737.76	3471.31	1042.76
PWY-5918: superpathway of heme b biosynthesis from glutamate	111.062	132.387	211.749	134.361	218.577	299.731	330.45	448.864	84.1118	136.323	1473.63	344.461	177.827	157.946	154.084	146.357	432.17	114.24	2584.59	1454.34	402.923	199.854	221.552	454.167	196.056	45.2591	196.359	157.419	82.5559
PWY-5920: superpathway of heme b biosynthesis from glycine	33.2945	45.0081	18.7705	66.9132	32.6725	196.925	48.7673	54.7988	0.0	40.757	729.568	80.1134	89.1929	0.0	81.1802	12.3393	261.788	0.0	90.2704	374.778	155.584	49.1663	0.0	283.768	97.6092	20.6726	78.2168	39.1405	44.2718
PWY-5941: glycogen degradation II	11244.1	10214.4	10520.3	8772.13	8511.68	8635.08	10588.7	8902.96	10747.5	10119.0	8461.21	9750.56	7541.07	9079.87	11020.4	11186.1	9594.62	11530.0	5996.89	6409.68	10385.1	9247.49	8970.01	8227.18	12435.6	8516.31	10700.5	9296.43	11048.8
PWY-5971: palmitate biosynthesis (type II fatty acid synthase)	1910.53	700.724	1036.55	1736.59	733.232	1385.78	1635.08	1243.81	463.799	722.998	2153.37	1503.04	1156.66	601.096	1175.22	388.048	1249.64	935.148	3099.92	2931.3	1087.03	1352.2	620.541	1739.08	1029.12	750.301	746.594	1128.42	948.208
PWY-5972: stearate biosynthesis I (animals)	0.0	30.287	25.8211	0.0	67.0815	36.1741	28.7838	23.5699	0.0	62.1047	83.401	69.809	26.4702	0.0	37.6508	0.0	22.6121	0.0	277.516	39.9986	31.8789	16.5287	0.0	28.962	11.4476	10.9514	26.7035	44.369	30.7685
PWY-5973: cis-vaccenate biosynthesis	1682.4	4818.32	3176.33	3109.43	3254.27	2079.64	3130.6	2397.84	2770.53	2657.95	1795.0	2286.75	2984.74	2173.86	2704.21	3815.39	2747.93	2262.64	2430.22	2466.86	2773.54	2098.92	3144.42	5291.35	2611.81	2346.27	1636.64	1695.39	1685.29
PWY-5981: CDP-diacylglycerol biosynthesis III	1518.8	1173.63	1963.69	3156.77	1943.23	3396.92	1783.42	1937.36	1454.35	1801.69	716.359	2266.0	2340.4	1042.06	2141.89	1049.67	2185.37	2445.92	960.366	1565.49	2198.46	2662.87	1807.19	1179.61	809.168	1005.14	1512.13	1467.47	2514.25
PWY-5989: stearate biosynthesis II (bacteria and plants)	1795.77	474.317	755.493	1693.08	514.341	1279.03	1369.23	990.703	397.827	510.805	1881.41	1285.7	1057.81	456.732	929.529	1942.6	963.675	696.654	2494.49	2519.66	972.82	1161.03	422.599	1281.29	753.186	549.755	682.14	1028.15	833.289
PWY-5994: palmitate biosynthesis (type I fatty acid synthase)	25.8089	24.8655	32.8305	700.484	41.4942	119.0	185.366	0.0	0.0	127.518	154.085	61.9839	261.633	0.0	28.0026	0.0	0.0	77.1836	0.0	0.0	0.0	123.36	42.6816	0.0	26.7052	237.809	82.975	138.293	0.0
PWY-6060: malonate degradation II (biotin-dependent)	0.0	0.0	0.0	0.0	0.0	6.50531	0.0	12.9897	0.0	0.0	3.64855	0.0	89.9945	28.5547	0.0	0.0	10.8228	0.0	4.83997	5.45483	0.0	0.0	0.0	132.041	110.304	0.0	4.84888	26.8686	0.0
PWY-6071: superpathway of phenylethylamine degradation	0.0	0.0	0.0	0.0	0.0	21.8944	0.0	0.0	0.0	0.0	0.0	11.3123	0.0	0.0	0.0	0.0	0.0	0.0	755.696	171.706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-6113: superpathway of mycolate biosynthesis	0.0	66.6448	87.3912	0.0	0.0	161.152	233.588	0.0	0.0	161.933	328.404	126.046	323.447	0.0	71.2183	0.0	0.0	0.0	0.0	0.0	0.0	234.828	101.561	0.0	0.0	0.0	133.903	205.058	0.0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	7438.46	8570.6	7024.49	8504.32	7548.98	7608.19	7931.72	8400.97	7914.04	8259.29	5990.21	8681.99	7889.39	9999.17	8728.24	7901.93	8273.51	9154.78	5215.31	5351.16	7931.69	7203.86	7562.58	6437.84	7971.02	7336.31	8884.64	7917.22	8848.13
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	10336.9	8451.58	7761.39	8496.02	7392.93	7746.49	7994.05	8602.5	7458.92	8584.77	6911.38	8898.89	7926.76	10274.5	8550.95	8751.27	8928.3	9161.98	5019.95	5483.86	8690.87	7485.15	7769.38	6251.81	7866.81	7262.41	9413.56	8077.89	8874.93
PWY-6123: inosine-5'-phosphate biosynthesis I	4048.46	4422.31	5152.27	7798.29	6098.99	5808.86	5137.74	5811.94	5911.21	5293.72	4099.89	5490.47	7542.44	6692.0	5613.63	4057.66	5407.28	5726.98	3498.23	3931.26	5147.6	5906.07	6023.71	5950.86	5207.15	7865.38	4288.76	6561.23	4811.4
PWY-6124: inosine-5'-phosphate biosynthesis II	3549.56	4013.18	5775.17	7520.67	5741.19	5525.39	4774.31	5523.03	5613.33	4929.38	3879.44	5144.89	7402.12	6253.26	5163.5	3584.92	5055.79	5299.1	3337.38	3781.66	4675.75	5574.1	5528.89	5634.4	4830.87	7507.82	4276.09	6196.08	4527.81
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	2626.27	4495.99	5817.95	5944.31	5146.11	4045.07	3961.83	3667.76	5742.34	3147.11	2984.78	2837.86	4477.46	4706.9	4829.38	2741.39	3198.92	2299.9	3427.65	3483.54	3237.0	4684.63	4584.64	6007.33	3517.73	6653.48	3581.61	3044.68	3692.71
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	3567.67	5656.86	7274.21	7414.04	6425.44	5254.51	5166.47	4829.43	6869.92	4209.32	3863.43	3864.49	5626.9	5858.24	6118.51	3669.44	4267.12	3184.01	3831.28	4307.51	4313.86	5815.07	5806.12	7243.57	4722.91	7844.01	4660.81	4081.65	4882.42
PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	3.65386	18.5918	19.3274	70.2725	0.0	51.785	22.1694	17.1644	0.0	69.5674	18.5567	121.953	0.0	0.0	0.0	0.0	0.0	0.0	7.69031	14.952	47.677	10.0575	0.0	12.7579	53.034	49.3848	7.39474	19.073	35.4971
PWY-6143: CMP-pseudaminate biosynthesis	0.0	188.495	0.0	79.0759	0.0	12.1851	190.544	15.2843	0.0	15.0844	4.00344	37.5842	77.5094	53.6925	65.4735	10.7676	19.3095	86.6658	40.8345	31.7639	26.8744	18.5613	0.0	0.0	0.0	101.744	94.6307	184.917	0.0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	221.504	511.179	3748.76	301.546	751.882	2613.93	628.864	2267.8	380.647	1045.22	1588.56	1982.22	2746.54	1888.93	929.259	4080.78	1567.59	1288.42	2393.38	2266.45	2020.46	1376.06	2018.57	452.092	614.2	420.953	1397.59	1565.55	1218.98
PWY-6148: tetrahydromethanopterin biosynthesis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	338.549	12.4813	24.1442	48.648	0.0	0.0	0.0	0.0	0.0	31.4223	0.0	0.0	0.0	0.0	0.0	0.0	31.6705	13.9532	0.0
